scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,species_observed,state_code,locality_id,protocol_type,observation_date,year,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus rufiventris,-63.6470604,-18.1201578,S17166527,Bolivia,obs206978,S17166527,2,true,BO-S,L1008525,Stationary,16-06-03,2003,7.5,180,0,2
Turdus rufiventris,-48.4983301,-27.7553675,S45509673,Brazil,obs143232,S45509673,,true,BR-SC,L1036106,Traveling,20-08-03,2003,8,240,4.828,3
Turdus rufiventris,-54.4398591,-25.6861225,S12910390,Brazil,obs322860,S12910390,,true,BR-PR,L1062147,Traveling,11-07-03,2003,10,180,3.219,3
Turdus rufiventris,-51.7283446,-28.1976096,S100655952,Brazil,obs1166183,S100655952,,true,BR-RS,L10637103,Traveling,14-06-03,2003,9,300,2.5,1
Turdus rufiventris,-58.9003398,-34.2258079,S99982670,Argentina,obs2625854,S99982670,,true,AR-B,L11712713,Traveling,19-12-03,2003,10,120,3,2
Turdus rufiventris,-58.4989068,-33.0056691,S70756522,Argentina,obs1312265,S70756522,3,true,AR-E,L11759190,Traveling,15-09-03,2003,13.5,30,0.5,2
Turdus rufiventris,-57.1671397,-28.5375205,S70758167,Argentina,obs1312265,S70758167,2,true,AR-W,L11759553,Traveling,17-09-03,2003,7,30,0.5,1
Turdus rufiventris,-58.3604693,-34.6153033,S74612694,Argentina,obs538436,S74612694,,true,AR-C,L12460200,Traveling,04-10-03,2003,15.66666667,60,1,1
Turdus rufiventris,-58.3807616,-34.6229431,S74613258,Argentina,obs538436,S74613258,,true,AR-C,L12460300,Traveling,08-10-03,2003,16.33333333,90,2,1
Turdus rufiventris,-58.494966,-34.4693445,S9008609,Argentina,obs188371,S9008609,,true,AR-B,L1294852,Traveling,10-08-03,2003,8,90,0.805,2
Turdus rufiventris,-58.4853369,-34.5106235,S9008772,Argentina,obs188371,S9008772,,true,AR-B,L1299401,Stationary,08-11-03,2003,5,10,0,2
Turdus rufiventris,-49.3078208,-26.3233634,S27365559,Brazil,obs201857,S27365559,,true,BR-SC,L1299598,Traveling,10-09-03,2003,9,120,2,4
Turdus rufiventris,-56.8034835,-17.3235232,S31290781,Brazil,obs201857,S31290781,,true,BR-MT,L1299612,Traveling,14-09-03,2003,14.75,180,1,2
Turdus rufiventris,-48.4127658,-24.2633712,S9029052,Brazil,obs201857,S9029052,3,true,BR-SP,L1302411,Traveling,25-08-03,2003,11.5,300,4,7
Turdus rufiventris,-57.8495407,-34.4730063,S9030873,Uruguay,obs188371,S9030873,,true,UY-CO,L1302776,Traveling,23-11-03,2003,11,300,4.828,2
Turdus rufiventris,-44.6156963,-22.4320969,S9602864,Brazil,obs281470,S9602864,,true,BR-RJ,L1375471,Traveling,22-08-03,2003,6,300,2,2
Turdus rufiventris,-54.4579518,-25.6871674,S9629094,Argentina,obs281470,S9629094,,true,AR-N,L1382705,Traveling,17-08-03,2003,9,300,3,2
Turdus rufiventris,-50.3090862,-29.9031519,S9681396,Brazil,obs281470,S9681396,,true,BR-RS,L1391370,Traveling,19-08-03,2003,13,30,0.3,2
Turdus rufiventris,-50.3089154,-29.2721509,S9681427,Brazil,obs281470,S9681427,,true,BR-RS,L1391376,Traveling,20-08-03,2003,16,60,0.5,2
Turdus rufiventris,-50.6112741,-29.4429303,S9681461,Brazil,obs281470,S9681461,,true,BR-RS,L1391382,Traveling,21-08-03,2003,6.5,240,1.5,2
Turdus rufiventris,-57.5723559,-25.249005,S40333091,Paraguay,obs857176,S40333091,1,true,PY-ASU,L1621522,Traveling,11-10-03,2003,6.5,300,3.219,1
Turdus rufiventris,-55.7537055,-15.4232612,S11639199,Brazil,obs201857,S11639199,,true,BR-MT,L1758517,Traveling,18-09-03,2003,7,180,4,2
Turdus rufiventris,-43.2663918,-22.9638464,S12910869,Brazil,obs322860,S12910869,,true,BR-RJ,L1926074,Traveling,15-07-03,2003,6.5,300,4.828,2
Turdus rufiventris,-46.623371,-23.6387607,S54910111,Brazil,obs353695,S54910111,1,true,BR-SP,L2015671,Traveling,09-10-03,2003,10,180,3,2
Turdus rufiventris,-54.5482618,-25.6263809,S16211116,Argentina,obs429465,S16211116,,true,AR-N,L2504325,Traveling,25-01-03,2003,7.5,240,3,2
Turdus rufiventris,-57.8384545,-34.4627413,S21005606,Uruguay,obs534175,S21005606,1,true,UY-CO,L2761711,Traveling,22-11-03,2003,10,240,3.219,2
Turdus rufiventris,-59.0396476,-33.834526,S20983782,Argentina,obs534175,S20983782,3,true,AR-E,L2762884,Traveling,05-11-03,2003,10,180,1.609,8
Turdus rufiventris,-64.75094,-32.66021,S42041909,Argentina,obs428785,S42041909,3,true,AR-X,L2991302,Traveling,29-12-03,2003,8,120,2,1
Turdus rufiventris,-63.8210526,-18.1768764,S21557526,Bolivia,obs412629,S21557526,1,true,BO-S,L2995425,Stationary,19-04-03,2003,7.5,180,0,1
Turdus rufiventris,-42.5329603,-22.2809342,S55105855,Brazil,obs353695,S55105855,1,true,BR-RJ,L3767790,Traveling,17-10-03,2003,9,240,4,2
Turdus rufiventris,-58.7955556,-35.4461111,S46811831,Argentina,obs643015,S46811831,,true,AR-B,L3839673,Stationary,05-07-03,2003,14.5,75,0,1
Turdus rufiventris,-44.9681096,-22.6668681,S27774848,Brazil,obs201857,S27774848,,true,BR-SP,L4303768,Traveling,25-09-03,2003,9,45,2,1
Turdus rufiventris,-43.2241201,-22.9674422,S55275579,Brazil,obs353695,S55275579,1,true,BR-RJ,L494684,Traveling,27-10-03,2003,10.5,180,2,2
Turdus rufiventris,-58.8817833,-34.19895,S9003301,Argentina,obs188371,S9003301,,true,AR-B,L495992,Traveling,31-05-03,2003,7,180,3.219,2
Turdus rufiventris,-57.4549448,-37.7714548,S48412701,Argentina,obs919707,S48412701,5,true,AR-B,L5818531,Traveling,27-07-03,2003,14,40,1,1
Turdus rufiventris,-58.39095,-34.7190487,S99980707,Argentina,obs2625854,S99980707,3,true,AR-B,L5833784,Stationary,20-12-03,2003,9.5,120,0,2
Turdus rufiventris,-42.6421452,-22.4445094,S55106930,Brazil,obs353695,S55106930,1,true,BR-RJ,L612261,Traveling,18-10-03,2003,10,240,2,2
Turdus rufiventris,-43.0000591,-22.4718752,S96458716,Brazil,obs532733,S96458716,1,true,BR-RJ,L612846,Traveling,05-07-03,2003,16.5,20,1,2
Turdus rufiventris,-44.6082097,-22.4385521,S55259087,Brazil,obs353695,S55259087,1,true,BR-RJ,L6252846,Traveling,21-10-03,2003,10,180,2,2
Turdus rufiventris,-59.5958333,-18.3375,S61702393,Bolivia,obs1465049,S61702393,2,true,BO-S,L6638063,Stationary,01-08-03,2003,9,240,0,4
Turdus rufiventris,-48.4124944,-24.2666196,S42828659,Brazil,obs962124,S42828659,1,true,BR-SP,L6924028,Traveling,20-10-03,2003,8,180,4.828,2
Turdus rufiventris,-64.5896852,-32.5245805,S43892959,Argentina,obs428785,S43892959,8,true,AR-X,L7107731,Traveling,19-04-03,2003,15,120,2,1
Turdus rufiventris,-42.5948699,-21.9164673,S96460584,Brazil,obs532733,S96460584,2,true,BR-RJ,L7211805,Traveling,07-07-03,2003,9.5,60,2,2
Turdus rufiventris,-45.0641004,-23.3972349,S96547144,Brazil,obs532733,S96547144,2,true,BR-SP,L786356,Traveling,12-07-03,2003,6.5,270,3,2
Turdus rufiventris,-45.1692945,-23.4697252,S96550180,Brazil,obs532733,S96550180,3,true,BR-SP,L810752,Traveling,13-07-03,2003,6.5,180,3,2
Turdus rufiventris,-43.1763662,-22.9213694,S17467810,Brazil,obs437205,S17467810,6,true,BR-RJ,L8337686,Traveling,19-09-03,2003,9.5,180,3.219,1
Turdus rufiventris,-58.7883568,-33.4984608,S8987886,Argentina,obs188371,S8987886,,true,AR-E,L844920,Traveling,04-01-03,2003,8.5,150,1.609,3
Turdus rufiventris,-44.7123887,-22.4721496,S96520634,Brazil,obs532733,S96520634,2,true,BR-RJ,L8491556,Traveling,09-07-03,2003,15,60,4,2
Turdus rufiventris,-48.2984991,-24.3122471,S98789278,Brazil,obs532733,S98789278,1,true,BR-SP,L972187,Traveling,18-07-03,2003,6.5,180,2,3
Turdus rufiventris,-64.45112,-18.01187,S27012066,Bolivia,obs279344,S27012066,1,true,BO-S,L1008529,Traveling,18-08-04,2004,16.83333333,95,0.322,3
Turdus rufiventris,-65.2938081,-24.1916873,S61033788,Argentina,obs272291,S61033788,,true,AR-Y,L10094065,Stationary,29-09-04,2004,17,30,0,1
Turdus rufiventris,-56.2204742,-20.2918254,S7881268,Brazil,obs125809,S7881268,1,true,BR-MS,L1118288,Traveling,15-11-04,2004,14.5,150,3.219,8
Turdus rufiventris,-50.6110847,-29.4430543,S9041718,Brazil,obs201857,S9041718,,true,BR-RS,L1304616,Traveling,13-10-04,2004,7,270,2,1
Turdus rufiventris,-44.7161365,-23.2194985,S47518289,Brazil,obs730365,S47518289,1,true,BR-RJ,L1465418,Traveling,08-05-04,2004,10,180,4.828,2
Turdus rufiventris,-58.3547226,-34.6175624,S117798871,Argentina,obs212467,S117798871,3,true,AR-B,L20718038,Traveling,01-09-04,2004,8.5,110,1.4,2
Turdus rufiventris,-58.3764017,-34.5949749,S16336033,Argentina,obs415985,S16336033,2,true,AR-C,L2522379,Stationary,10-07-04,2004,10.5,15,0,1
Turdus rufiventris,-56.9167,-36.4167,S82822297,Argentina,obs430982,S82822297,,true,AR-B,L2762567,Traveling,15-12-04,2004,10,120,4,8
Turdus rufiventris,-65.5356667,-25.1228333,S39975820,Argentina,obs966002,S39975820,,true,AR-A,L2763598,Traveling,08-04-04,2004,7.75,210,4,1
Turdus rufiventris,-63.5983515,-18.1051884,S26898773,Bolivia,obs279344,S26898773,1,true,BO-S,L3401986,Traveling,16-08-04,2004,6.5,285,2.816,3
Turdus rufiventris,-64.9866199,-32.3289899,S23897392,Argentina,obs521880,S23897392,2,true,AR-D,L3719159,Traveling,22-02-04,2004,7.833333333,90,4,2
Turdus rufiventris,-65.0052613,-32.3200869,S23901570,Argentina,obs521880,S23901570,3,true,AR-D,L3720381,Traveling,30-10-04,2004,15,120,1,2
Turdus rufiventris,-43.2257509,-22.9670322,S29169291,Brazil,obs730365,S29169291,3,true,BR-RJ,L4535807,Traveling,27-04-04,2004,10,180,3.219,1
Turdus rufiventris,-43.1728363,-22.9276827,S78488109,Brazil,obs1505626,S78488109,,true,BR-RJ,L4736564,Traveling,26-04-04,2004,8.5,60,2.5,1
Turdus rufiventris,-54.5850563,-25.5154111,S46704653,Brazil,obs730365,S46704653,3,true,BR-PR,L4982475,Traveling,28-04-04,2004,15,60,0.805,1
Turdus rufiventris,-46.6903496,-23.3448564,S75916913,Brazil,obs623014,S75916913,,true,BR-SP,L5721042,Traveling,29-02-04,2004,8.25,240,2.5,5
Turdus rufiventris,-53.5346603,-33.9757517,S4807499,Uruguay,obs128887,S4807499,,true,UY-RO,L683775,Traveling,14-09-04,2004,6,180,2.414,2
Turdus rufiventris,-43.1579018,-22.9496995,S78488916,Brazil,obs1505626,S78488916,,true,BR-RJ,L951138,Traveling,26-04-04,2004,11,90,2,2
Turdus rufiventris,-54.1095961,-26.6269935,S57826611,Argentina,obs500739,S57826611,,true,AR-N,L9563962,Traveling,08-04-04,2004,14.5,180,3,3
Turdus rufiventris,-63.8772422,-18.1830503,S26902181,Bolivia,obs279344,S26902181,1,true,BO-S,L994628,Traveling,18-08-04,2004,14,30,0.161,3
Turdus rufiventris,-40.1894581,-14.3756355,S106314062,Brazil,obs971049,S106314062,,true,BR-BA,L1001247,Traveling,11-12-05,2005,15,180,4,2
Turdus rufiventris,-40.1345426,-14.4132235,S106314542,Brazil,obs971049,S106314542,,true,BR-BA,L1001257,Traveling,12-12-05,2005,12.5,300,4,2
Turdus rufiventris,-56.236855,-21.0916086,S127205600,Brazil,obs692284,S127205600,,true,BR-MS,L10046141,Traveling,25-08-05,2005,6,250,3,1
Turdus rufiventris,-42.5607958,-22.3705622,S102187440,Brazil,obs345243,S102187440,,true,BR-RJ,L10682851,Traveling,03-11-05,2005,15,120,2,9
